variable_name,variable_label,domain
MHENRF,End Relative to Reference Period Medical History,MH
MHDY,Study Day of Collection Medical History,MH
PESEQ,Sequence Number Physical Examination,PE
PETERM,Reported Term for the Physical Finding,PE
PEMODIFY,Modified Reported Term Physical Examination,PE
PECAT,Category for Physical Examination,PE
PESCAT,Subcategory for Physical Examination,PE
PEBODSYS,Body System Examined Physical Examination,PE
PEDECOD,Dictionary Derived Term Physical Examination,PE
PEORRES,Result or Finding in Original Units Physical Examination,PE
PESTRESC,Character Result Finding in Standard Format Physical Examination,PE
PECLSIG,Clinically Significant Finding Physical Examination,PE
PESTAT,Completion Status Physical Examination,PE
PEREASND,Reason Not Performed Physical Examination,PE
PEDTC,Date Time of Physical Examination,PE
PEDY,Study Day of Physical Examination,PE
PEBLFL,Baseline Flag Physical Examination,PE
PEPOS,Position of Subject Physical Examination,PE
EGSEQ,Sequence Number ECG,EG
EGTESTCD,ECG Test or Examination Short Name,EG
EGTEST,ECG Test or Examination Name,EG
EGCAT,Category for ECG Test,EG
EGORRES,Result or Finding in Original Units ECG,EG
EGORRESU,Original Units ECG,EG
EGSTRESC,Character Result Finding in Standard Format ECG,EG
EGSTRESN,Numeric Result Finding in Standard Units ECG,EG
EGSTRESU,Standard Units ECG,EG
EGNRIND,Reference Range Indicator ECG,EG
EGSTAT,Completion Status ECG,EG
EGLOC,Location of Electrode Placement ECG,EG
EGMETHOD,Method of ECG Test,EG
EGPOS,Position of Subject ECG,EG
EGDTC,Date Time of ECG,EG
EGDY,Study Day of ECG,EG
EGTPT,Planned Time Point Name ECG,EG
EGTPTNUM,Planned Time Point Number ECG,EG
EGREASND,Reason Not Performed ECG,EG
EGBLFL,Baseline Flag ECG,EG
SCSEQ,Sequence Number Subject Characteristics,SC
SCTEST,Subject Characteristics Test Name,SC
SCTESTCD,Subject Characteristics Test Short Name,SC
SCORRES,Result or Finding in Original Units Subject Characteristics,SC
SCSTRESC,Character Result Finding in Standard Format Subject Characteristics,SC
SCSTRESN,Numeric Result Finding in Standard Units Subject Characteristics,SC
SCAT,Category for Subject Characteristics,SC
SCDTC,Date Time of Collection Subject Characteristics,SC
SCDY,Study Day of Collection Subject Characteristics,SC
SCSTAT,Completion Status Subject Characteristics,SC
SCREASND,Reason Not Done Subject Characteristics,SC
